Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SOH,SOD,SOA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,SJH
I1,09-02-2003,Inter,Reggina,3,0,H,3,0,H,1.286,4.5,8,1.3,4.75,9,1.25,4.5,9,1.25,4.5,10,1.29,4.5,8.5,1.286,4.5,9,1.28,4.5,8,1.55,2.15,P. Mazzoleni,20,9,9,6,15,21,5,3,1,2,0,0,1.18,6,15,1.21,5.2,13,1.18,5.2,16,1.22,4.8,11,1.14,5.5,15,1.22,5,15,1.16,5.5,12,1.12
I1,09-02-2003,Lazio,Torino,1,1,D,1,0,H,1.364,3.75,8,1.4,3.8,8,1.35,4,7,1.44,3.6,6.5,1.36,4,7.5,1.364,4,7.5,1.25,5,8,1.65,1.95,M. De Santis,9,6,6,3,19,20,4,7,1,1,1,0,2,3.1,4,2.05,2.9,3.75,1.9,2.95,4.25,1.85,3,4.2,1.91,3,3.75,1.91,3,4.2,1.95,3,3.6,1.83
I1,09-02-2003,Modena,Roma,1,1,D,1,0,H,3.4,3,2,3.5,3.05,2.05,3.4,2.9,2,3.2,3,2.1,3.25,3,2.1,3.25,3,2.1,3.2,3,2.1,1.8,1.8,M. Saccani,6,13,0,4,37,15,5,5,2,2,0,0,7,3.5,1.53,6.3,3.4,1.55,6,3.4,1.55,5,3.2,1.65,5.5,3.25,1.57,6.5,3.4,1.57,5.5,3.3,1.57,5.5
I1,09-02-2003,Perugia,Milan,1,0,H,1,0,H,3.5,3.2,1.909,3.5,3.15,2,3.2,2.9,2.1,3.5,3.2,1.91,3.6,3.2,1.91,3.6,3.2,1.909,3.4,3,2,1.75,1.85,S. Racalbuto,10,12,3,4,20,25,6,5,1,2,0,0,4.2,3.2,1.9,3.85,3.2,1.9,4,3.1,1.9,4,3,1.9,3.75,3.2,1.83,4.2,3.1,1.91,4,3,1.83,4
I1,15-02-2003,Chievo,Inter,2,1,H,2,0,H,3,3,2.2,3.15,3.05,2.25,2.8,2.9,2.3,,,,3,3,2.25,3,3,2.25,,,,1.65,1.95,E. Morganti,12,17,5,9,16,19,6,5,2,2,0,0,2.6,3.1,2.7,2.5,3,2.75,2.5,2.95,2.75,2.6,3,2.6,2.4,2.88,2.8,2.62,3,2.7,2.5,2.8,2.75,2.38
I1,15-02-2003,Roma,Brescia,0,0,D,0,0,D,1.667,3.1,5,1.65,3.3,5.5,1.6,3.2,5,,,,1.67,3.2,5,1.667,3.2,5,,,,1.7,1.9,N. Ayroldi,4,6,1,2,15,12,6,3,1,1,0,0,2.6,3,2.8,2.5,2.95,2.8,2.65,2.75,2.8,2.6,2.8,2.8,2.38,3,2.75,2.5,3,2.88,2.37,2.75,2.9,2.5
I1,16-02-2003,Atalanta,Udinese,0,0,D,0,0,D,2.2,3,3,2.3,3.05,3.05,2.2,2.8,3.1,,,,2.2,2.88,3.2,2.2,2.875,3.2,,,,1.75,1.85,C. Brighi,12,9,7,4,19,20,7,3,2,5,0,1,2.1,3,3.75,2.2,2.85,3.45,2.2,2.85,3.4,2,2.9,3.7,2,2.8,3.75,2.05,3,3.6,2.05,2.87,3.5,2
I1,16-02-2003,Empoli,Perugia,1,1,D,1,1,D,2.3,3,2.8,2.25,3.05,3.15,2.2,2.8,3.1,,,,2.38,2.88,2.88,2.25,2.875,3.1,,,,1.8,1.8,M. Trefoloni,12,8,4,3,18,28,6,3,2,3,0,0,1.8,3.2,4.75,1.75,3.2,4.65,1.8,3,5,1.75,3.1,4.5,1.67,3.2,5,1.75,3.25,4.5,1.7,3.2,4.5,1.83
I1,16-02-2003,Milan,Lazio,2,2,D,0,2,A,1.8,3.1,4,1.9,3.15,4.05,1.8,3,4,,,,1.8,3.2,4,1.8,3.2,4,,,,1.8,1.8,A. Dattilo,11,7,5,4,14,23,5,2,2,4,0,0,1.2,5.5,17,1.15,6,14.9,1.16,6,15,1.2,5,12,1.2,5,11,1.17,6,17,1.2,5,11,1.12
I1,16-02-2003,Parma,Juventus,1,2,A,0,2,A,2.875,3,2.25,3.05,3.05,2.4,2.8,2.9,2.3,,,,3,3,2.25,3,3,2.25,,,,1.75,1.85,D. Tombolini,22,3,13,0,16,23,7,2,0,2,0,0,1.16,6,19,1.13,6.5,17,1.14,6.5,16,1.15,5.7,14,1.14,5.5,15,1.14,6.5,19,1.12,6,15,1.1
